%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1555597509344412826,593,1555597509343696117,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0390281006694,0.00115632207599,0.413000017405,,,0
1555597509392225727,594,1555597509391499996,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0407174453139,0.00739121204242,0.412000030279,,,0
1555597509463025390,595,1555597509461824893,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0406186170876,0.00826220680028,0.411000013351,,,0
1555597509520437661,596,1555597509519731998,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0403221324086,0.0108492411673,0.408000022173,,,0
1555597509578652396,597,1555597509578115940,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0425012893975,0.0145200006664,0.412000030279,,,0
1555597509625834887,598,1555597509625055074,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0441776439548,0.0180404987186,0.411000013351,,,0
1555597509680364747,599,1555597509679799079,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0411043986678,0.0240269117057,0.407000005245,,,0
1555597509751359052,600,1555597509750746011,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0412053912878,0.0293806307018,0.408000022173,,,0
1555597509803485370,601,1555597509802568912,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0429719164968,0.0346753112972,0.408000022173,,,0
1555597509858265822,602,1555597509857569932,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0447384417057,0.039087548852,0.408000022173,,,0
1555597509914469568,603,1555597509913918972,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0446287840605,0.0407523103058,0.407000005245,,,0
1555597509956819728,604,1555597509956238031,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.043640203774,0.0432865470648,0.40600001812,,,0
1555597510026095097,605,1555597510025490045,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0445191338658,0.0450427904725,0.40600001812,,,0
1555597510083847574,606,1555597510082864046,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0444094836712,0.0493116416037,0.405000030994,,,0
1555597510141595097,607,1555597510140620946,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0445191338658,0.0511896386743,0.40600001812,,,0
1555597510200366870,608,1555597510199709892,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0400256477296,0.0545673891902,0.405000030994,,,0
1555597510251388200,609,1555597510250652074,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.039926815778,0.056180242449,0.404000014067,,,0
1555597510309999200,610,1555597510309415102,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0390522107482,0.0570540390909,0.404000014067,,,0
1555597510358553835,611,1555597510358023881,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0373030044138,0.0588016360998,0.404000014067,,,0
1555597510413546311,612,1555597510412851095,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0364284031093,0.0596754290164,0.404000014067,,,0
1555597510457357626,613,1555597510456806898,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.034679196775,0.0614230185747,0.404000014067,,,0
1555597510518465009,614,1555597510517466068,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0329299941659,0.0631706118584,0.404000014067,,,0
1555597510574574507,615,1555597510574057102,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0249965395778,0.0621426180005,0.403000026941,,,0
1555597510618503882,616,1555597510618015050,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.02855697833,0.0640444085002,0.404000014067,,,0
1555597510685773950,617,1555597510685230016,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0276823733002,0.0657919943333,0.404000014067,,,0
1555597510736061013,618,1555597510735361099,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0241839643568,0.0675395876169,0.404000014067,,,0
1555597510782212810,619,1555597510781276941,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0215601548553,0.0684133842587,0.404000014067,,,0
1555597510838884228,620,1555597510837735891,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.0110375331715,0.0673724189401,0.403000026941,,,0
1555597510884545209,621,1555597510884031057,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00580290518701,0.0682440474629,0.403000026941,,,0
1555597510934534717,622,1555597510933876991,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00143714039586,0.0680747032166,0.402000010014,,,0
1555597510989770651,623,1555597510988843917,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00581730436534,0.0692871809006,0.404000014067,,,0
1555597511049565541,624,1555597511048985004,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,0.00494270166382,0.0710347741842,0.404000014067,,,0
1555597511102232108,625,1555597511100224971,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.00467792944983,0.0675395876169,0.404000014067,,,0
1555597511162195987,626,1555597511161385059,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.00642713531852,0.0675395876169,0.404000014067,,,0
1555597511223670455,627,1555597511222954988,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0152107216418,0.0720865577459,0.405000030994,,,0
1555597511296524795,628,1555597511295749902,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0212426725775,0.0699873119593,0.403000026941,,,0
1555597511354940657,629,1555597511354317903,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0248551666737,0.0668308138847,0.405000030994,,,0
1555597511415773372,630,1555597511415148973,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0318693071604,0.0615750588477,0.405000030994,,,0
1555597511472292654,631,1555597511471646070,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0337058603764,0.0547021217644,0.40600001812,,,0
1555597511520145463,632,1555597511519483089,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0356384217739,0.0523242540658,0.408000022173,,,0
